,times__trf
36069,408.6792588233948
36070,408.6905553340912
36071,408.7010884284973
36072,408.711891412735
36073,408.72313952445984
36074,408.7340977191925
36075,408.74556493759155
36076,408.75678062438965
36077,408.76780915260315
36078,408.7795660495758
36079,408.7904214859009
36080,408.80078053474426
36081,408.8128457069397
36082,408.8237895965576
36083,408.834103345871
36084,408.84428906440735
36085,408.8563232421875
36086,408.8680510520935
36087,408.88006806373596
36088,408.89194107055664
36089,408.90290784835815
36090,408.9143805503845
36091,408.92608618736267
36092,408.93711853027344
36093,408.9480814933777
36094,408.95876693725586
36095,408.9697413444519
36096,408.98149704933167
36097,408.9925308227539
36098,409.00395226478577
36099,409.01502895355225
36100,409.02785658836365
36101,409.03880429267883
36102,409.05065155029297
36103,409.0617985725403
36104,409.0726420879364
36105,409.08362770080566
36106,409.094514131546
36107,409.10567688941956
36108,409.11682415008545
36109,409.12717294692993
36110,409.13756465911865
36111,409.1480965614319
36112,409.15826439857483
36113,409.1686942577362
36114,409.1800799369812
36115,409.19184136390686
36116,409.2028214931488
36117,409.21574664115906
36118,409.2282385826111
36119,409.23922514915466
36120,409.2500145435333
36121,409.2613708972931
36122,409.2723476886749
36123,409.2837543487549
36124,409.29484128952026
36125,409.30821776390076
36126,409.3197445869446
36127,409.330943107605
36128,409.34200525283813
36129,409.35436964035034
36130,409.3659601211548
36131,409.3783576488495
36132,409.3900394439697
36133,409.4005742073059
36134,409.4117548465729
36135,409.422199010849
36136,409.43324637413025
36137,409.44393157958984
36138,409.45485854148865
36139,409.465868473053
36140,409.47628474235535
36141,409.4881865978241
36142,409.4992232322693
36143,409.5104601383209
36144,409.5207860469818
36145,409.5327651500702
36146,409.54438948631287
36147,409.55631017684937
36148,409.5671510696411
36149,409.57826375961304
36150,409.589302778244
36151,409.6002883911133
36152,409.6121280193329
36153,409.62288212776184
36154,409.63336849212646
36155,409.644287109375
36156,409.65483689308167
36157,409.6654632091522
36158,409.67672204971313
36159,409.68817806243896
36160,409.699645280838
36161,409.7104046344757
36162,409.7218072414398
36163,409.7328631877899
36164,409.74419951438904
36165,409.75557374954224
36166,409.76746702194214
36167,409.7787961959839
36168,409.78948760032654
36169,409.80015087127686
36170,409.81065225601196
36171,409.8208739757538
36172,409.83250284194946
36173,409.8447859287262
36174,409.85770773887634
36175,409.868412733078
36176,409.8787751197815
36177,409.8898460865021
36178,409.9012122154236
36179,409.9116635322571
36180,409.92292881011963
36181,409.933856010437
36182,409.9463357925415
36183,409.9581153392792
36184,409.9694788455963
36185,409.9808084964752
36186,409.9928436279297
36187,410.00509572029114
36188,410.0156087875366
36189,410.0263442993164
36190,410.03723645210266
36191,410.0483238697052
36192,410.05922269821167
36193,410.0695524215698
36194,410.0811038017273
36195,410.0917212963104
36196,410.1022365093231
36197,410.1123900413513
36198,410.1246109008789
36199,410.136018037796
36200,410.1466772556305
36201,410.15821623802185
36202,410.1700909137726
36203,410.1815116405487
36204,410.19266271591187
36205,410.2048451900482
36206,410.2149426937103
36207,410.2259976863861
36208,410.23655009269714
36209,410.24723982810974
36210,410.2583661079407
36211,410.2704174518585
36212,410.2820179462433
36213,410.293660402298
36214,410.30475759506226
36215,410.31689739227295
36216,410.327513217926
36217,410.33879828453064
