,times__sm
23412,128.18478965759277
23413,128.1906669139862
23414,128.19616413116455
23415,128.2012279033661
23416,128.20599007606506
23417,128.21377110481262
23418,128.22062253952026
23419,128.22587060928345
23420,128.2329273223877
23421,128.2383153438568
23422,128.24259042739868
23423,128.24987053871155
23424,128.25645804405212
23425,128.26203298568726
23426,128.2668445110321
23427,128.2742202281952
23428,128.2778618335724
23429,128.28227257728577
23430,128.28699016571045
23431,128.29239797592163
23432,128.29890966415405
23433,128.30331182479858
23434,128.30973625183105
23435,128.31551504135132
23436,128.32186150550842
23437,128.3271131515503
23438,128.33411860466003
23439,128.34126567840576
23440,128.34852480888367
23441,128.35304498672485
23442,128.35832905769348
23443,128.3654589653015
23444,128.37098860740662
23445,128.37516498565674
23446,128.38026571273804
23447,128.38595414161682
23448,128.39160466194153
23449,128.39588618278503
23450,128.40161538124084
23451,128.4085750579834
23452,128.41353750228882
23453,128.41923213005066
23454,128.42382097244263
23455,128.42940163612366
23456,128.43296837806702
23457,128.43699169158936
23458,128.44341897964478
23459,128.44761633872986
23460,128.45213842391968
23461,128.4562635421753
23462,128.46042895317078
23463,128.4668562412262
23464,128.47107410430908
23465,128.47564959526062
23466,128.48087239265442
23467,128.48474645614624
23468,128.48959112167358
23469,128.4927361011505
23470,128.49710702896118
23471,128.50124382972717
23472,128.50679302215576
23473,128.51264214515686
23474,128.51737928390503
23475,128.522221326828
23476,128.52776622772217
23477,128.53415608406067
23478,128.54070806503296
23479,128.54422688484192
23480,128.54928135871887
23481,128.55288100242615
23482,128.5586462020874
23483,128.56410670280457
23484,128.5676600933075
23485,128.57322311401367
23486,128.5788769721985
23487,128.5880467891693
23488,128.5940821170807
23489,128.60046195983887
23490,128.60467267036438
23491,128.6110978126526
23492,128.61599111557007
23493,128.622403383255
23494,128.62771272659302
23495,128.63430619239807
23496,128.63998317718506
23497,128.6453676223755
23498,128.65021085739136
23499,128.6549859046936
23500,128.66051626205444
23501,128.66520023345947
23502,128.6711721420288
23503,128.6759374141693
23504,128.68122243881226
23505,128.68596482276917
23506,128.68927645683289
23507,128.69572591781616
23508,128.7008512020111
23509,128.70626091957092
23510,128.711092710495
23511,128.7163519859314
23512,128.72007179260254
23513,128.7280933856964
23514,128.7345268726349
23515,128.73900079727173
23516,128.74538493156433
23517,128.75005340576172
23518,128.75456309318542
23519,128.75984239578247
23520,128.76504373550415
23521,128.77025032043457
23522,128.77585291862488
23523,128.78083276748657
23524,128.78598403930664
23525,128.78943300247192
23526,128.79321241378784
23527,128.79707646369934
23528,128.80224204063416
23529,128.80561780929565
23530,128.81060934066772
23531,128.8140573501587
23532,128.81760692596436
23533,128.8224160671234
23534,128.8280782699585
23535,128.83515644073486
23536,128.84040999412537
23537,128.84571981430054
23538,128.85042023658752
23539,128.85807728767395
23540,128.86515522003174
23541,128.87018585205078
23542,128.87561225891113
23543,128.88028120994568
23544,128.88767313957214
23545,128.8930962085724
23546,128.89895105361938
23547,128.90435481071472
23548,128.90849447250366
23549,128.91447138786316
23550,128.9201648235321
23551,128.92420077323914
23552,128.9299659729004
23553,128.9354166984558
23554,128.94044041633606
23555,128.9451768398285
23556,128.95018577575684
23557,128.95723605155945
23558,128.96042203903198
